정책ID,정책서비스ID,서비스명,태그-신청절차,태그-지원유형,태그-지역(시도),태그-지역(시군구),태그-기업규모,태그-업종(대분류),태그-업력(시작),태그-업력(종료)
10709,485000000358,예방백신 지원,오프라인,"현금,현물",전라남도,담양군,무관,"농업, 임업 및 어업",0.0,0.0
10710,485000000271,녹색축산 육성기금 융자 지원,오프라인,"현금,현물",전라남도,담양군,중소기업/소상공인,"농업, 임업 및 어업",0.0,0.0
10711,485000000278,농산물 우수관리제도 GAP 인증신청 수수료 지원,오프라인,"현금,현물",전라남도,담양군,무관,"농업, 임업 및 어업",0.0,0.0
10714,480000000555,지역산업 맞춤형 일자리 창출 지원,복합,정보제공,전라남도,목포시,무관,"사업시설 관리, 사업 지원 및 임대 서비스업/공공 행정, 국방 및 사회보장 행정",0.0,0.0
10715,495000000353,유기질비료 지원,오프라인,"현금,현물",전라남도,무안군,무관,"농업, 임업 및 어업",0.0,0.0
10716,495000000354,유망 예비 농업인 및 우수 농업경영인 대상 창업 자금 등 융자 지원(후계농업경영인 육성),오프라인,"현금,현물",전라남도,무안군,무관,"농업, 임업 및 어업",0.0,0.0
10717,495000000397,주산지 GAP 안전성 분석 지원,오프라인,"현금,현물",전라남도,무안군,중소기업/소상공인,"농업, 임업 및 어업/전문, 과학 및 기술 서비스업",0.0,0.0
10718,483000000354,GAP 시설 보완 지원,오프라인,"현금,현물",전라남도,나주시,중소기업/소상공인,"농업, 임업 및 어업/광업/제조업/도매 및 소매업/운수 및 창고업/전문, 과학 및 기술 서비스업/사업시설 관리, 사업 지원 및 임대 서비스업",0.0,0.0
10719,483000000355,농산물 우수관리제도GAP 인증신청 수수료 지원,오프라인,"현금,현물",전라남도,나주시,중소기업/소상공인,"농업, 임업 및 어업",0.0,0.0
10720,485000000361,우수 후계농업경영인 추가 지원,오프라인,"현금,현물",전라남도,담양군,무관,"농업, 임업 및 어업",0.0,0.0
10721,485000000363,유망 예비 농업인 및 우수 농업경영인 대상 창업 자금 등 융자 지원(후계농업경영인 육성),오프라인,"현금,현물",전라남도,담양군,무관,"농업, 임업 및 어업",0.0,0.0
