기업체명,업력(월),기업규모,업종(대분류),지역(광역시도),지역(시군구)
동명중공업(주),266,중소기업,제조업,경상북도,고령군
(주)동조철강,271,중소기업,"수도, 하수 및 폐기물 처리, 원료 재생업",대구광역시,달서구
(주)대호엠엠아이,277,중소기업,제조업,경상남도,창원시
(주)엠케이코리아,50,소상공인,제조업,경상남도,통영시
(주)지아이티아카데미,286,중기업,교육 서비스업,서울특별시,서초구
주식회사 옵셔널캐피탈,364,중소기업,금융 및 보험업,서울특별시,영등포구
주식회사 스틸코리아,284,중소기업,제조업,서울특별시,서초구
영풍산업,261,소상공인,제조업,부산광역시,기장군
프라임플러스캐피탈(주),298,판단불가,"전문, 과학 및 기술 서비스업",서울특별시,강남구
(주)발리안트플러스,155,중소기업,도매 및 소매업,서울특별시,강남구
(주)헤이스타즈,28,소기업,정보통신업,제주특별자치도,제주시
(주)한맥기업,339,중소기업,제조업,서울특별시,서대문구
충주공용버스터미널(주),271,중소기업,운수 및 창고업,충청북도,충주시
주식회사 하담,215,중소기업,부동산업,대구광역시,동구
주식회사 도레미미디어,293,중소기업,제조업,서울특별시,구로구
(주)마인드브리지개발,153,중소기업,"사업시설 관리, 사업 지원 및 임대 서비스업",경기도,용인시
더존이앤씨,379,중소기업,건설업,경기도,수원시
아시안스타인터내셔널주식회사,146,중소기업,도매 및 소매업,경기도,성남시
(주)씨엠건설,172,중소기업,건설업,충청남도,당진군
주식회사 진한무역,415,중소기업,제조업,서울특별시,중구
(주) 신일양회,515,중소기업,도매 및 소매업,서울특별시,중구
주식회사 청호종합건설,362,중소기업,건설업,인천광역시,남동구
주식회사 형제주택,398,중소기업,건설업,부산광역시,동래구
주식회사 안산판지,382,판단불가,제조업,경기도,안산시
(주)다이나테크,256,중소기업,제조업,경기도,고양시
(주)자연디앤씨,98,중소기업,부동산업,대구광역시,수성구
주식회사 모이존,258,중소기업,정보통신업,서울특별시,금천구
농업회사법인(주)해밀생명과학,125,중소기업,"농업, 임업 및 어업",서울특별시,강남구
(주)일성해운,379,중소기업,운수 및 창고업,서울특별시,종로구
명지종합건설주식회사,456,중소기업,부동산업,부산광역시,진구
주식회사한스머신,183,판단불가,제조업,경기도,시흥시
주식회사 도시환경이엔지,250,중소기업,제조업,광주광역시,북구
(주)이오니아이엔티,215,중소기업,제조업,서울특별시,구로구
(주)보우메텍,317,중소기업,제조업,경기도,파주시
동방렌탈주식회사,318,중소기업,제조업,경기도,성남시
주식회사 이지컨텐츠미디어,180,중소기업,정보통신업,서울특별시,강남구
주식회사 서원월드씨티,203,판단불가,건설업,서울특별시,강서구
주식회사 보해상호저축은행,610,중소기업,금융 및 보험업,전라남도,목포시
선호기업(주),277,판단불가,제조업,광주광역시,광산구
주식회사 랜드플러스,271,중소기업,부동산업,서울특별시,서초구
주식회사 서울조구,524,판단불가,제조업,인천광역시,계양구
(주)성일엔지컴,269,중소기업,제조업,서울특별시,구로구
(주)대곡산업,160,소기업,광업,경상북도,경산시
보나뱅크주식회사,260,중소기업,정보통신업,서울특별시,서초구
볼트개발 주식회사,111,중소기업,건설업,서울특별시,마포구
태인텔레콤 주식회사,155,판단불가,도매 및 소매업,부산광역시,수영구
판단불가,판단불가,판단불가,판단불가,판단불가,판단불가
(주)리엔리,232,중소기업,제조업,부산광역시,사하구
주식회사 예우,155,중소기업,건설업,서울특별시,강서구
(주)연호에스티,196,중소기업,제조업,광주광역시,북구
주식회사 오엠오타쿠,148,중소기업,정보통신업,제주특별자치도,제주시
주식회사 정명씨앤디,268,중소기업,부동산업,경기도,부천시
삼협개발주식회사,595,중소기업,건설업,부산광역시,중구
뉴트리니티충주제오차 유한회사,76,중소기업,금융 및 보험업,서울특별시,영등포구
주식회사 세종피앤디,132,판단불가,부동산업,서울특별시,강남구
만다린웨스트(주),199,중소기업,도매 및 소매업,서울특별시,강남구
에코리빙 주식회사,192,중소기업,제조업,충청남도,당진군
한국근강도량형(주),358,중소기업,제조업,인천광역시,남동구
장유워터피아(주),275,중소기업,"협회 및 단체, 수리 및 기타 개인 서비스업",경상남도,진주시
(주)거성개발,202,중기업,도매 및 소매업,경기도,여주시
화남산업주식회사,715,중소기업,제조업,서울특별시,송파구
(주)에이시스,148,중소기업,도매 및 소매업,서울특별시,서초구
(주)뉴크라운 관광호텔,315,중소기업,제조업,제주특별자치도,제주시
주식회사 우리피앤씨,214,중소기업,도매 및 소매업,서울특별시,강남구
중견기업,중견기업,중견기업,중견기업,중견기업,중견기업
주식회사 평호테크,167,중소기업,제조업,경기도,안산시
한국석유공사,242,판단제외,광업,울산광역시,중구
케이씨에이원 유한회사,130,중소기업,금융 및 보험업,서울특별시,영등포구
더블유에스통상주식회사,185,중소기업,도매 및 소매업,서울특별시,중구
주식회사 정연산업,243,판단불가,건설업,광주광역시,서구
신화인테리어,432,중소기업,건설업,서울특별시,서포구
(주)미래안산업개발,220,중소기업,"사업시설 관리, 사업 지원 및 임대 서비스업",서울특별시,은평구
(주)도고산업개발,189,중기업,광업,충청남도,아산시
광명특수인쇄주식회사,612,중소기업,제조업,서울특별시,강서구
주식회사 메디스퀘어,248,중소기업,도매 및 소매업,서울특별시,강남구
(주)에프이십이,152,중소기업,부동산업,경기도,파주시
(주)에스피홀딩스,416,중소기업,부동산업,서울특별시,강남구
(주)여운,272,판단불가,건설업,강원도,삼척시
아이넷스쿨,-,소상공인,0,전라남도,순천시
주식회사 거성,288,중소기업,건설업,강원도,동해시
주식회사 두리디앤씨,183,판단불가,부동산업,경기도,안산시
삼보개진(주),509,중소기업,부동산업,서울특별시,영등포구
(주)디앤디글로벌,153,판단불가,도매 및 소매업,서울특별시,강남구
위브서울숲제일차 주식회사,137,중소기업,금융 및 보험업,서울특별시,영등포구
풍원산업(주),측정제한,판단불가,제조업,경기도,용인시
탑라인(주),257,중소기업,제조업,서울특별시,마포구
마린솔루션 유한회사,136,중소기업,금융 및 보험업,서울특별시,중구
주식회사 보천가족,219,판단불가,정보통신업,서울특별시,강남구
코클리어코리아 주식회사,158,중소기업,도매 및 소매업,서울특별시,강남구
스페코플랜트(주),190,중소기업,제조업,충청북도,음성군
법무법인 한결,298,중소기업,"전문, 과학 및 기술 서비스업",서울특별시,강남구
주식회사 은성헬스빌,250,판단불가,제조업,경상북도,칠곡군
(주)진미선에프엔디,157,중소기업,"예술, 스포츠 및 여가관련 서비스업",경기도,오산시
주식회사제이엘코프,283,중소기업,제조업,경기도,김포시
(주)디케이이엔씨,199,중소기업,부동산업,서울특별시,중구
(주)제네스코,153,중소기업,도매 및 소매업,서울특별시,마포구
그린손해보험(주),889,대기업,금융 및 보험업,서울특별시,강남구
쇼트코리아(주),346,중소기업,도매 및 소매업,서울특별시,강남구
영건산업 주식회사,347,중소기업,건설업,서울특별시,중랑구
한국쿨민제조(주),607,중소기업,제조업,경상북도,경주시
(주)이어로직코리아,204,중소기업,제조업,서울특별시,마포구
주식회사 유연디앤씨,277,판단불가,부동산업,서울특별시,강남구
티알아이테인먼트 주식회사,165,중소기업,정보통신업,서울특별시,강남구
삼화모방공업주식회사,622,중소기업,제조업,경상남도,양산시
(주)이오스,169,중소기업,"전기, 가스, 증기 및 공기 조절 공급업",경상북도,문경시
(주)지노시스템,420,중소기업,정보통신업,서울특별시,영등포구
세원상사(주),364,중소기업,도매 및 소매업,서울특별시,강남구
우진무역개발(주),301,판단불가,건설업,서울특별시,은평구
한국과학기술원,504,판단제외,교육 서비스업,대전광역시,유성구
글로리아항공(주),258,중기업,교육 서비스업,서울특별시,동대문구
한일해운(주),158,중소기업,운수 및 창고업,경기도,평택시
호크아이즈글로벌(주),173,중소기업,"전문, 과학 및 기술 서비스업",부산광역시,해운대구
호성주택(주),188,판단불가,건설업,경기도,성남시
(주)황등산업,242,소기업,건설업,경기도,안산시
주식회사 황금메디칼센터,170,중소기업,부동산업,대구광역시,수성구
진해로지스틱스 주식회사,168,중소기업,"사업시설 관리, 사업 지원 및 임대 서비스업",서울특별시,영등포구
중앙네트웍솔루션(주),741,중소기업,제조업,경기도,수원시
(주)모티브비즈,224,중소기업,도매 및 소매업,서울특별시,강남구
파워옵틱스(주),210,중소기업,제조업,경기도,의왕시
토다페라이트코리아(주),190,중소기업,"수도, 하수 및 폐기물 처리, 원료 재생업",부산광역시,강서구
한양네비콤(주),183,중소기업,제조업,경기도,수원시
신진건설주식회사,363,중소기업,건설업,경기도,부천시
주식회사 대아기업,412,중소기업,"예술, 스포츠 및 여가관련 서비스업",인천광역시,부평구
(주)일이드,195,중소기업,부동산업,부산광역시,남구
(주) 지엠에스인터내셔날,269,중소기업,도매 및 소매업,서울특별시,영등포구
(주)와이엠에스씨,253,중소기업,도매 및 소매업,서울특별시,서초구
강원도시가스(주),446,대기업,"전기, 가스, 증기 및 공기 조절 공급업",강원도,춘천시
판단불가,판단불가,판단불가,판단불가,판단불가,판단불가
대한유리공업(주),280,중소기업,제조업,전라북도,김제시
(주)에치알파워,258,중소기업,교육 서비스업,서울특별시,강남구
세동석유(주),211,중소기업,도매 및 소매업,경기도,화성시
주식회사 민음인,153,중소기업,정보통신업,서울특별시,강남구
(주)청어람씨케이에스,167,중기업,교육 서비스업,서울특별시,송파구
(주)큐빅테크,374,중소기업,정보통신업,서울특별시,강서구
판단불가,판단불가,판단불가,판단불가,판단불가,판단불가
산업기반신보제이차유동화전문 유한회사,103,중소기업,금융 및 보험업,서울특별시,중구
